sortable_name,id,Disc1,Disc2,Disc3,Disc4,Disc5,Disc6,Disc7,Disc8,Disc9,Disc10,Disc11,Disc12,Disc13,Disc14,Disc15,SeekFind1,SeekFind2,SeekFind3,SeekFind4,SeekFind5,SeekFind6,SeekFind7,SeekFind8,SeekFind9,SeekFind10,SeekFind11,SeekFind12,SeekFind13,SeekFind14,SeekFind15
"Jeffcoat, Jodie",2785,"(50, -41, [(1875, 0), (1473, 0), (1993, 0), (122, 0), (93, 0), (149, 0), (106, 0), (96, 0)])","(50, -20, [(601, 0), (1139, 0), (143, 0), (118, 0), (119, 0)])","(50, -46, [(1892, 0), (121, 0)])","(50, 24, [(1632, 0), (2146, 0), (2037, 0), (132, 0), (84, 0), (141, 0), (135, 0)])","(40, 19, [(1622, 0), (81, 0), (89, 0)])","(50, 48, [(1705, 0), (2089, 0), (1979, 0), (137, 0), (99, 0), (115, 0), (118, 0)])","(50, -2, [(2056, 1), (2097, 0), (133, 0), (121, 0), (103, 0)])","(50, -35, [(1745, 0), (149, 0)])","(50, 47, [(1818, 0), (1907, 0), (141, 0)])","(50, 59, [(2121, 0), (1742, 0), (147, 0), (96, 0), (149, 0)])","(50, 70, [(889, 0)])","(50, 52, [(1567, 0), (1822, 0), (114, 0), (150, 0)])","(50, -48, [(1699, 1), (83, 0), (110, 0), (96, 0)])","(50, -23, [(1754, 0), (1613, 0), (116, 0), (145, 0), (87, 0)])","(50, -16, [(1770, 0), (82, 0), (127, 0), (128, 0)])","(40, -43, [(1840, 1), (120, 0)])","(50, 67, [(2002, 0), (94, 0), (124, 0), (113, 0)])","(40, -40, [(2057, 3), (143, 0), (112, 0), (124, 0)])","(50, -15, [(822, 0), (135, 0), (93, 0)])","(50, -17, [(1904, 0), (114, 0)])","(40, -38, [(1700, 1), (131, 0), (138, 0), (146, 0), (97, 0)])","(50, 71, [(1390, 2), (95, 0), (138, 0)])","(50, -45, [(2534, 1), (86, 0), (128, 0), (80, 0), (117, 0)])","(50, 8, [(2274, 3)])","(50, 72, [(1810, 3), (130, 0)])","(50, -32, [(1928, 3)])","(50, 47, [(1743, 0), (95, 0), (119, 0)])","(50, 60, [(2157, 0), (85, 0), (113, 0)])","(50, -47, [(2176, 1)])","(50, 60, [(2323, 3), (127, 0)])"
"Jefferis, Julissa",6319,"(40, 4, [(1263, 0), (129, 0), (98, 0)])","(50, 5, [(597, 1), (751, 0), (680, 0), (97, 0), (94, 0)])","(50, -2, [(1234, 0), (115, 0), (142, 0), (131, 0), (91, 0), (93, 0)])","(40, 66, [(1382, 0), (940, 0), (1612, 0)])","(50, -34, [(1837, 0), (144, 0), (117, 0), (99, 0), (117, 0)])","(40, 19, [(1126, 0), (113, 0), (105, 0), (144, 0)])","(50, 62, [(1698, 1), (97, 0), (98, 0), (114, 0)])","(40, 66, [(1089, 0), (139, 0), (117, 0), (127, 0), (132, 0), (117, 0)])","(50, 18, [(1430, 3), (121, 0), (115, 0), (128, 0)])","(50, 23, [(1144, 0), (128, 0), (130, 0), (106, 0), (147, 0)])","(50, -3, [(274, 0), (149, 0), (81, 0), (93, 0), (136, 0)])","(50, -2, [(1848, 0)])","(50, -47, [(1483, 0), (118, 0)])","(50, 23, [(1361, 0), (1498, 0), (1998, 0), (146, 0), (142, 0), (107, 0)])","(50, -25, [(1706, 3), (1783, 0), (102, 0), (99, 0)])","(40, -18, [(1164, 1), (122, 0), (140, 0), (102, 0), (149, 0)])","(50, -29, [(1699, 1), (91, 0), (139, 0), (97, 0)])","(50, 12, [(1829, 1), (140, 0)])","(50, 3, [(1050, 0), (119, 0)])","(40, 25, [(1517, 1)])","(50, -14, [(1744, 1), (126, 0), (131, 0)])","(50, 16, [(1516, 0), (88, 0), (103, 0)])","(50, -41, [(1684, 1), (137, 0)])","(40, 29, [(1441, 1), (116, 0)])","(50, 2, [(1557, 2), (133, 0)])","(40, -21, [(1742, 1), (95, 0)])","(50, 42, [(1079, 1), (112, 0), (148, 0), (93, 0), (88, 0)])","(50, -45, [(1753, 1), (150, 0), (108, 0)])","(50, -9, [(1623, 1), (100, 0), (90, 0)])","(50, -13, [(1597, 2), (117, 0)])"
"Jeffrey, Janay",5548,"(40, -40, [(1270, 1), (107, 0), (89, 0)])","(50, -6, [(568, 0), (140, 0)])","(30, -16, [(744, 2)])","(0, 0, [])","(40, -19, [(1068, 0)])","(30, 58, [(794, 0), (676, 0), (90, 0), (142, 0), (112, 0)])","(50, -27, [(1008, 0), (1049, 0), (947, 0), (145, 0), (89, 0)])","(0, 0, [])","(40, -29, [(978, 0), (84, 0), (145, 0)])","(50, -17, [(538, 0), (1250, 0), (110, 0)])","(30, -22, [(182, 0), (109, 0)])","(40, -14, [(1190, 1), (876, 0), (132, 0)])","(0, 0, [])","(0, 0, [])","(40, -24, [(816, 0), (1031, 0), (149, 0), (111, 0), (111, 0)])","(50, 15, [(806, 1), (120, 0)])","(30, -10, [(1087, 3), (88, 0), (120, 0), (133, 0)])","(0, 0, [])","(30, 24, [(7, 1)])","(40, -24, [(1438, 1), (103, 0), (97, 0)])","(50, 15, [(801, 3)])","(0, 0, [])","(50, -34, [(1284, 1)])","(50, -2, [(963, 1)])","(40, -17, [(995, 1)])","(50, -26, [(1237, 1), (143, 0), (138, 0), (117, 0)])","(40, 30, [(894, 1)])","(40, -2, [(1130, 0)])","(40, -43, [(1130, 0), (132, 0), (83, 0), (90, 0)])","(40, -44, [(943, 1), (82, 0), (143, 0), (140, 0)])"
"Jennette, Junie",2135,"(0, 0, [])","(50, -7, [(867, 2), (546, 0), (115, 0), (86, 0)])","(50, -41, [(1804, 0), (113, 0), (128, 0)])","(50, 7, [(1583, 0), (1765, 0), (2127, 0), (142, 0)])","(50, 61, [(2149, 0), (144, 0), (148, 0), (89, 0), (144, 0), (128, 0), (80, 0)])","(50, -32, [(1966, 0), (1654, 0), (1929, 0), (80, 0), (104, 0), (88, 0)])","(40, -14, [(1870, 0), (2003, 0), (91, 0)])","(50, -19, [(1945, 0), (869, 0), (120, 0), (85, 0), (129, 0)])","(50, -34, [(1941, 0), (143, 0), (126, 0), (142, 0), (146, 0), (112, 0)])","(40, 2, [(1745, 0), (145, 0), (124, 0), (103, 0)])","(50, 71, [(571, 0), (126, 0), (94, 0), (132, 0), (100, 0)])","(50, 60, [(2003, 0), (93, 0)])","(50, -33, [(2120, 0), (84, 0), (122, 0), (91, 0), (131, 0)])","(50, 43, [(1878, 0), (1897, 0), (146, 0), (118, 0), (127, 0), (131, 0)])","(50, -8, [(1940, 0), (1968, 0), (110, 0)])","(50, -7, [(2041, 3), (104, 0)])","(50, -30, [(1956, 1), (104, 0), (102, 0)])","(0, 0, [])","(50, -9, [(589, 0), (111, 0), (145, 0), (145, 0), (95, 0)])","(50, 60, [(1621, 0), (104, 0), (148, 0)])","(50, 52, [(1668, 1), (121, 0)])","(50, 7, [(1602, 1), (138, 0)])","(50, -17, [(2637, 3), (145, 0)])","(50, -29, [(1792, 0), (104, 0), (142, 0)])","(50, 52, [(2168, 2), (111, 0)])","(50, -5, [(1694, 1), (114, 0), (111, 0), (132, 0), (142, 0), (87, 0)])","(50, -32, [(1587, 0), (95, 0), (126, 0)])","(50, -30, [(2134, 3)])","(50, 11, [(2250, 1), (84, 0), (109, 0), (132, 0), (112, 0), (87, 0)])","(40, -31, [(2592, 0), (96, 0), (93, 0), (122, 0), (135, 0)])"
"Jorstad, Jeanice",1418,"(0, 0, [])","(30, 71, [(729, 0), (102, 0), (112, 0), (131, 0)])","(0, 0, [])","(40, -46, [(1206, 0), (139, 0), (115, 0), (98, 0), (131, 0), (88, 0)])","(0, 0, [])","(30, -32, [(1500, 2), (1424, 0), (109, 0), (131, 0), (121, 0)])","(0, 0, [])","(50, -36, [(902, 0), (117, 0), (133, 0)])","(40, -20, [(1546, 0), (111, 0), (135, 0), (126, 0)])","(0, 0, [])","(50, 70, [(570, 0), (94, 0)])","(50, 25, [(1467, 0), (93, 0), (148, 0), (136, 0)])","(50, 67, [(1384, 0), (145, 0), (99, 0), (125, 0), (145, 0), (92, 0)])","(40, 1, [(1374, 3), (80, 0), (108, 0), (103, 0), (98, 0)])","(40, -45, [(1693, 1)])","(40, -20, [(1518, 1), (109, 0), (134, 0), (90, 0), (115, 0), (84, 0)])","(40, 49, [(1485, 1), (125, 0), (146, 0)])","(40, -1, [(2140, 1), (102, 0), (91, 0)])","(40, 10, [(534, 0), (149, 0)])","(50, 27, [(1566, 1), (108, 0), (140, 0)])","(30, 51, [(1578, 3), (150, 0), (114, 0)])","(40, -41, [(1395, 0), (141, 0)])","(0, 0, [])","(0, 0, [])","(40, 6, [(1766, 1), (81, 0)])","(30, 58, [(1443, 3), (101, 0)])","(50, -3, [(1254, 0), (139, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])"
"Jowett, Joan",4362,"(50, -35, [(1902, 0), (106, 0), (107, 0), (99, 0), (146, 0)])","(50, -44, [(603, 0), (125, 0), (89, 0), (122, 0)])","(50, -31, [(1506, 1)])","(50, -39, [(1862, 0), (134, 0), (104, 0), (101, 0)])","(50, -3, [(1588, 0), (97, 0), (147, 0)])","(50, -35, [(1663, 0), (96, 0), (105, 0), (114, 0), (118, 0), (128, 0)])","(50, -27, [(1622, 0), (91, 0)])","(50, -43, [(1018, 0), (123, 0), (138, 0)])","(50, -44, [(1822, 0), (1164, 0), (126, 0), (150, 0), (145, 0), (99, 0), (112, 0)])","(50, -8, [(1100, 1), (114, 0), (100, 0)])","(40, -11, [(717, 0), (105, 0), (145, 0)])","(50, -48, [(1326, 0), (128, 0), (112, 0), (87, 0), (136, 0)])","(50, -17, [(1777, 2), (111, 0), (131, 0), (116, 0), (81, 0)])","(50, -21, [(1515, 1), (1196, 0), (1429, 0), (105, 0), (104, 0)])","(50, -28, [(1205, 0), (2162, 0), (109, 0), (113, 0), (130, 0)])","(40, -12, [(1262, 0), (140, 0), (122, 0)])","(50, -25, [(1257, 1), (125, 0)])","(50, -7, [(1547, 3), (131, 0)])","(50, -10, [(289, 0), (140, 0), (145, 0), (105, 0), (114, 0)])","(50, -40, [(1301, 3), (120, 0), (106, 0)])","(50, -31, [(1206, 0)])","(40, -20, [(1526, 1), (91, 0), (82, 0), (126, 0), (104, 0), (121, 0)])","(50, -46, [(1844, 0), (108, 0), (85, 0)])","(40, -20, [(1349, 1), (114, 0)])","(50, -45, [(1796, 0)])","(40, -33, [(1734, 1)])","(50, -10, [(1858, 1), (90, 0), (85, 0)])","(50, -7, [(1993, 3), (103, 0), (134, 0)])","(40, -37, [(1414, 2), (136, 0)])","(50, -19, [(1660, 1), (81, 0)])"
"Jump, Jeanie",1799,"(50, -25, [(2094, 0), (1430, 0), (117, 0), (113, 0), (93, 0), (116, 0), (98, 0)])","(50, -13, [(490, 0), (108, 0), (138, 0), (146, 0), (88, 0), (82, 0), (89, 0)])","(40, -47, [(1843, 0), (126, 0), (99, 0)])","(50, -3, [(1989, 0), (1937, 0), (102, 0), (97, 0), (140, 0), (88, 0), (129, 0)])","(50, -25, [(2197, 1), (128, 0)])","(50, -41, [(1858, 0), (143, 0), (101, 0)])","(50, -22, [(1964, 3), (131, 0), (125, 0), (138, 0), (144, 0), (127, 0)])","(40, -34, [(1792, 1), (105, 0), (141, 0), (111, 0)])","(40, -45, [(1950, 1), (102, 0), (99, 0), (149, 0)])","(0, 0, [])","(0, 0, [])","(50, -3, [(1921, 0), (145, 0)])","(50, -4, [(2013, 1), (143, 0), (98, 0), (127, 0), (144, 0), (142, 0), (115, 0)])","(50, -27, [(1934, 1), (1350, 0), (98, 0), (141, 0), (101, 0), (149, 0)])","(40, -35, [(1810, 0), (92, 0), (147, 0)])","(0, 0, [])","(50, -25, [(1859, 1)])","(50, -44, [(2150, 1), (121, 0)])","(50, -46, [(747, 0), (95, 0)])","(50, -16, [(1979, 1), (82, 0), (146, 0)])","(50, -34, [(1898, 1), (105, 0)])","(50, -24, [(1798, 1), (96, 0), (87, 0)])","(50, -11, [(2666, 1), (117, 0)])","(0, 0, [])","(40, -10, [(2042, 1), (131, 0), (116, 0)])","(40, -46, [(1950, 3), (106, 0), (114, 0), (95, 0)])","(0, 0, [])","(50, -9, [(2008, 1), (83, 0)])","(0, 0, [])","(50, -43, [(2634, 1), (95, 0), (106, 0), (145, 0)])"
"Jung, Junko",7415,"(50, -22, [(2002, 0), (137, 0), (84, 0), (106, 0), (115, 0), (128, 0), (134, 0), (147, 0)])","(50, -44, [(574, 0), (125, 0), (97, 0)])","(40, -26, [(1806, 0), (93, 0), (138, 0), (112, 0)])","(50, -33, [(1814, 0), (1586, 0), (119, 0), (94, 0), (87, 0)])","(50, -44, [(1602, 0), (120, 0), (97, 0), (82, 0)])","(50, -2, [(1510, 1), (1611, 0), (1840, 0), (100, 0), (122, 0), (142, 0), (114, 0)])","(50, -15, [(2172, 0), (2138, 0), (95, 0), (110, 0), (143, 0), (101, 0), (96, 0)])","(40, -31, [(1710, 0), (541, 0), (139, 0), (121, 0)])","(50, -9, [(1873, 0), (100, 0), (88, 0), (138, 0)])","(50, -22, [(1418, 0), (113, 0), (117, 0)])","(50, -4, [(644, 2), (146, 0)])","(50, -22, [(1765, 0), (1592, 0), (94, 0), (86, 0)])","(40, -15, [(1617, 0), (1873, 0), (129, 0), (96, 0), (81, 0)])","(50, -1, [(1814, 0), (87, 0), (87, 0), (103, 0)])","(50, -29, [(1675, 0), (133, 0), (124, 0), (94, 0), (119, 0), (125, 0), (91, 0)])","(50, -47, [(1820, 1), (84, 0)])","(40, -33, [(1648, 0), (98, 0), (133, 0), (133, 0)])","(50, -45, [(1999, 1), (113, 0)])","(50, -17, [(915, 0), (125, 0)])","(50, -37, [(1797, 0), (117, 0), (119, 0)])","(50, -20, [(1422, 1), (125, 0)])","(50, -35, [(1813, 0)])","(50, -17, [(2131, 1), (116, 0), (104, 0), (98, 0)])","(50, -8, [(1816, 3), (96, 0)])","(50, -15, [(2065, 1), (121, 0), (102, 0), (111, 0)])","(50, -4, [(1940, 0)])","(50, -37, [(1825, 1)])","(50, -23, [(2035, 1)])","(40, -32, [(1990, 2), (126, 0)])","(50, -16, [(2434, 3), (145, 0)])"
"Keifer, Kasandra",8510,"(50, -21, [(1111, 1), (972, 0), (86, 0), (80, 0)])","(40, -34, [(478, 0), (95, 0)])","(40, -21, [(876, 0), (101, 0)])","(40, -5, [(939, 0), (981, 0), (113, 0)])","(40, -27, [(1151, 1)])","(30, -22, [(350, 1), (698, 0), (133, 0)])","(50, -9, [(989, 2), (892, 0), (95, 0)])","(40, -19, [(744, 2), (81, 0), (110, 0), (126, 0), (128, 0)])","(50, -37, [(819, 0), (130, 0)])","(50, -47, [(727, 0), (139, 0), (104, 0)])","(40, -12, [(407, 0), (149, 0), (122, 0)])","(50, -34, [(1061, 0)])","(40, -46, [(913, 0), (124, 0), (89, 0)])","(50, -41, [(1129, 0)])","(40, -18, [(1430, 1), (90, 0), (105, 0), (91, 0), (123, 0)])","(40, -48, [(544, 1), (123, 0)])","(30, -13, [(894, 1), (122, 0), (102, 0), (150, 0)])","(40, -41, [(1187, 1)])","(50, -15, [(427, 0)])","(40, -25, [(639, 1)])","(40, -2, [(985, 1)])","(40, -4, [(761, 1), (121, 0), (115, 0), (94, 0), (150, 0)])","(50, -36, [(933, 2)])","(50, -30, [(1061, 1)])","(30, -20, [(846, 1)])","(40, -20, [(960, 1)])","(50, -43, [(896, 1)])","(50, -17, [(1077, 2)])","(50, -16, [(649, 1), (82, 0)])","(40, -20, [(1017, 1)])"
"Kinloch, Kristal",4534,"(50, 26, [(710, 0), (693, 0), (695, 0), (100, 0), (144, 0)])","(50, -23, [(374, 0), (126, 0)])","(40, 10, [(739, 0), (139, 0)])","(50, -42, [(1093, 0), (608, 0), (754, 0), (113, 0)])","(40, -31, [(941, 0), (84, 0), (140, 0)])","(40, -19, [(1007, 0), (711, 0), (368, 0), (93, 0), (80, 0), (140, 0)])","(40, -17, [(679, 0), (912, 0), (84, 0), (97, 0)])","(40, -16, [(584, 0), (463, 0), (95, 0), (87, 0), (117, 0)])","(30, -5, [(713, 0), (148, 0)])","(40, -47, [(887, 0), (138, 0), (97, 0)])","(30, -42, [(137, 0), (134, 0)])","(40, -10, [(523, 1), (741, 0), (87, 0), (148, 0)])","(30, -1, [(617, 1), (122, 0)])","(40, -24, [(1016, 0), (706, 0), (530, 0), (116, 0)])","(50, -2, [(695, 0), (961, 0), (1033, 0), (105, 0)])","(40, 18, [(659, 1)])","(40, 2, [(1019, 0), (94, 0), (141, 0), (127, 0), (98, 0)])","(50, -36, [(1064, 0), (139, 0), (137, 0)])","(40, -42, [(236, 0)])","(40, 55, [(508, 1), (100, 0), (125, 0)])","(40, 11, [(592, 0)])","(30, 53, [(880, 1)])","(50, -23, [(928, 1)])","(50, 22, [(520, 0), (107, 0), (93, 0), (128, 0)])","(30, -37, [(1201, 1)])","(50, -4, [(357, 0), (98, 0)])","(40, -26, [(510, 0)])","(50, -10, [(845, 0), (80, 0), (134, 0), (117, 0)])","(30, 14, [(829, 0)])","(30, -14, [(916, 2), (149, 0)])"
"Kinnan, Karyl",5217,"(50, -38, [(539, 0), (134, 0)])","(50, -48, [(37, 0), (109, 0)])","(50, -44, [(797, 0), (121, 0)])","(50, -16, [(769, 1), (818, 0), (96, 0)])","(50, -14, [(726, 0), (84, 0)])","(50, 46, [(676, 0)])","(50, -8, [(1019, 0), (113, 0), (116, 0), (102, 0)])","(40, -25, [(779, 0), (143, 0), (106, 0), (109, 0)])","(50, -9, [(744, 3)])","(50, -7, [(1261, 0), (95, 0), (112, 0), (134, 0), (131, 0), (110, 0)])","(50, -3, [(436, 0), (139, 0), (120, 0), (141, 0), (150, 0), (116, 0)])","(50, -44, [(653, 0), (136, 0), (135, 0)])","(50, 71, [(728, 1), (859, 0), (109, 0), (117, 0)])","(50, -31, [(818, 0), (633, 0), (531, 0)])","(40, -29, [(451, 0), (137, 0), (86, 0), (125, 0), (102, 0)])","(50, -8, [(625, 1), (113, 0), (91, 0)])","(50, -34, [(617, 1), (119, 0), (92, 0), (145, 0)])","(50, -42, [(850, 1)])","(40, -8, [(235, 1)])","(40, -15, [(692, 1), (113, 0), (96, 0), (105, 0), (81, 0)])","(50, -13, [(511, 1)])","(40, -39, [(531, 3), (119, 0), (144, 0), (97, 0)])","(40, 21, [(955, 2)])","(50, -37, [(883, 3), (122, 0), (83, 0)])","(50, -42, [(1101, 2), (97, 0), (112, 0)])","(50, -41, [(769, 1)])","(50, -14, [(799, 1)])","(50, -2, [(702, 3), (85, 0)])","(50, -28, [(760, 3), (110, 0)])","(40, -39, [(609, 1)])"
"Knighten, Krystina",4532,"(40, -26, [(1154, 0), (1118, 0), (124, 0), (135, 0), (111, 0)])","(50, -41, [(459, 0), (673, 0)])","(50, -41, [(1538, 1), (110, 0), (133, 0), (106, 0)])","(40, -16, [(1417, 1)])","(40, -47, [(1315, 1), (140, 0), (116, 0), (119, 0), (137, 0)])","(40, -17, [(1202, 0), (768, 0), (97, 0), (92, 0)])","(40, -48, [(1561, 0), (128, 0), (148, 0), (87, 0)])","(40, -38, [(1172, 0), (133, 0), (122, 0)])","(50, -39, [(1255, 0), (112, 0), (126, 0)])","(40, -23, [(1161, 0), (133, 0), (124, 0), (100, 0)])","(30, -42, [(304, 0)])","(50, -37, [(1162, 0), (107, 0), (150, 0)])","(50, -39, [(902, 0), (117, 0), (133, 0), (82, 0)])","(40, -35, [(1189, 0), (1178, 0), (997, 0), (89, 0), (114, 0)])","(30, -33, [(987, 1), (1483, 0), (95, 0)])","(40, -42, [(1347, 0), (111, 0), (118, 0), (85, 0), (147, 0)])","(40, -11, [(1136, 3), (145, 0), (134, 0), (80, 0), (89, 0)])","(40, -6, [(1186, 3)])","(30, -41, [(210, 0), (119, 0)])","(50, -19, [(1136, 2), (136, 0)])","(50, -34, [(1152, 2)])","(50, -6, [(862, 1)])","(40, -36, [(1509, 1), (84, 0), (111, 0), (109, 0), (140, 0)])","(40, -25, [(1141, 1), (122, 0)])","(40, -29, [(1627, 1)])","(40, -39, [(1169, 1)])","(40, -7, [(1121, 0), (147, 0)])","(30, -36, [(1245, 1)])","(50, -3, [(1157, 3)])","(50, -25, [(1317, 1)])"
"Koger, Kris",1133,"(50, 48, [(3098, 0), (128, 0), (115, 0), (109, 0), (136, 0), (118, 0), (103, 0), (138, 0)])","(50, -39, [(1054, 0), (737, 0), (842, 0), (96, 0), (95, 0), (89, 0), (126, 0), (130, 0), (100, 0)])","(50, -22, [(2996, 1), (114, 0), (119, 0), (123, 0), (109, 0), (103, 0)])","(50, -14, [(2756, 0), (113, 0), (80, 0), (96, 0), (87, 0), (114, 0), (129, 0), (124, 0), (119, 0), (118, 0), (99, 0)])","(50, 68, [(3241, 0), (97, 0), (114, 0), (82, 0), (98, 0), (106, 0), (150, 0), (84, 0)])","(40, -28, [(3133, 0), (142, 0), (143, 0), (119, 0), (122, 0), (126, 0), (113, 0)])","(50, -46, [(2827, 0), (92, 0), (121, 0), (133, 0), (129, 0), (84, 0)])","(50, -43, [(2665, 0), (84, 0), (83, 0), (146, 0), (97, 0), (80, 0), (129, 0), (98, 0)])","(50, -9, [(3148, 0), (92, 0), (83, 0), (116, 0), (114, 0)])","(50, -14, [(2667, 0), (103, 0), (123, 0), (144, 0), (120, 0), (136, 0), (111, 0), (147, 0), (107, 0)])","(50, 26, [(1264, 0), (116, 0), (109, 0), (144, 0), (90, 0)])","(50, -43, [(3081, 0), (85, 0), (123, 0), (108, 0), (128, 0), (147, 0), (142, 0)])","(50, -2, [(2968, 0), (101, 0), (96, 0), (100, 0), (124, 0), (89, 0), (144, 0), (144, 0)])","(40, 62, [(3331, 0), (2431, 0), (3275, 0), (137, 0), (149, 0), (116, 0), (128, 0), (113, 0), (139, 0), (114, 0)])","(50, -27, [(2612, 0), (3296, 0), (86, 0), (95, 0), (92, 0), (148, 0), (131, 0), (142, 0)])","(50, -12, [(2566, 1), (91, 0), (96, 0), (123, 0), (149, 0)])","(50, -34, [(3033, 0), (92, 0), (94, 0), (134, 0), (107, 0)])","(50, 45, [(3266, 1), (133, 0), (113, 0)])","(50, -26, [(963, 0), (138, 0), (119, 0)])","(50, -1, [(2907, 1), (124, 0), (119, 0), (146, 0), (113, 0)])","(50, -28, [(2813, 0), (129, 0), (95, 0)])","(50, -1, [(2999, 0), (144, 0)])","(50, 24, [(3928, 2), (142, 0), (100, 0), (118, 0)])","(50, -9, [(2820, 0), (91, 0), (100, 0), (89, 0), (121, 0)])","(50, -19, [(3337, 1)])","(50, 6, [(2871, 1), (128, 0), (148, 0), (131, 0), (121, 0), (111, 0)])","(50, -28, [(2842, 3), (100, 0), (92, 0), (132, 0), (126, 0), (101, 0)])","(50, -23, [(2972, 3), (123, 0), (127, 0), (107, 0)])","(50, -9, [(3144, 1), (140, 0), (98, 0)])","(40, -15, [(3367, 0), (106, 0), (101, 0), (97, 0)])"
"Korn, Kimbery",1907,"(50, 6, [(880, 0), (815, 0), (143, 0), (112, 0)])","(40, 27, [(416, 0), (411, 0), (146, 0), (101, 0), (110, 0)])","(40, 15, [(736, 0), (123, 0)])","(50, 27, [(775, 0), (111, 0), (136, 0)])","(40, 2, [(1129, 0)])","(50, 67, [(844, 0), (872, 0), (820, 0), (106, 0)])","(30, 64, [(990, 0), (1199, 0), (902, 0)])","(50, 55, [(998, 0), (92, 0), (138, 0), (133, 0)])","(0, 0, [])","(0, 0, [])","(40, 26, [(79, 1), (106, 0)])","(30, 63, [(875, 0), (968, 0), (90, 0)])","(40, 3, [(1164, 1), (865, 0), (82, 0)])","(40, 28, [(502, 0), (123, 0)])","(30, 52, [(1121, 0), (744, 0), (1021, 0), (150, 0), (128, 0), (103, 0), (99, 0)])","(40, 70, [(964, 0), (88, 0)])","(40, 54, [(682, 0), (89, 0)])","(40, 10, [(874, 0)])","(40, 44, [(108, 0), (97, 0), (145, 0), (117, 0)])","(30, 45, [(690, 0)])","(50, 48, [(969, 0)])","(50, 67, [(742, 0)])","(50, 11, [(866, 2)])","(40, 68, [(795, 0)])","(30, 41, [(1046, 0)])","(40, 24, [(963, 0), (92, 0), (117, 0)])","(40, 25, [(1129, 0), (116, 0), (123, 0)])","(50, 25, [(881, 3), (117, 0), (139, 0), (89, 0), (105, 0)])","(40, 35, [(530, 0)])","(40, 24, [(1143, 0)])"
"Krzeminski, Kisha",8921,"(0, 0, [])","(50, -19, [(689, 0), (146, 0), (81, 0), (108, 0)])","(50, -29, [(1973, 3), (90, 0), (91, 0), (125, 0)])","(50, -44, [(2101, 0), (1925, 0), (127, 0), (111, 0), (117, 0)])","(40, -32, [(1915, 0), (91, 0), (109, 0)])","(50, -4, [(1899, 1), (1895, 0), (116, 0)])","(50, -43, [(2134, 3), (2289, 0), (94, 0), (117, 0), (97, 0)])","(0, 0, [])","(50, -37, [(2084, 1), (87, 0), (135, 0), (96, 0), (119, 0)])","(40, -21, [(1723, 0), (90, 0), (115, 0), (117, 0)])","(50, -7, [(969, 1)])","(50, -5, [(1781, 0), (144, 0), (99, 0)])","(50, -44, [(2203, 0), (97, 0), (103, 0)])","(50, -1, [(1913, 0), (121, 0), (101, 0), (89, 0)])","(40, -16, [(2402, 1), (121, 0), (87, 0), (124, 0), (125, 0)])","(50, -13, [(2047, 1), (112, 0), (101, 0)])","(50, -20, [(1991, 2), (103, 0), (145, 0), (149, 0), (108, 0)])","(50, -26, [(2482, 2), (99, 0)])","(50, -11, [(495, 0), (139, 0)])","(50, -47, [(1709, 2), (102, 0), (93, 0)])","(40, -12, [(1718, 1), (107, 0)])","(50, -2, [(1897, 1), (134, 0)])","(50, -28, [(2606, 3), (107, 0), (83, 0)])","(50, -17, [(1826, 3)])","(40, -30, [(1675, 3), (98, 0), (118, 0)])","(40, -1, [(1844, 3), (140, 0), (121, 0), (100, 0)])","(50, -16, [(1784, 1)])","(50, -17, [(2555, 1), (111, 0)])","(50, -14, [(1843, 1)])","(40, -16, [(2598, 2), (143, 0), (126, 0), (128, 0), (116, 0), (136, 0)])"
"Labarre, Lesli",7920,"(50, -3, [(1499, 1), (127, 0)])","(50, -28, [(360, 0), (93, 0), (100, 0)])","(50, -33, [(1507, 0), (143, 0), (142, 0), (148, 0)])","(50, -21, [(1390, 0), (1365, 0), (89, 0), (80, 0), (97, 0)])","(40, -26, [(1456, 0), (115, 0), (82, 0)])","(50, -36, [(1203, 0), (138, 0), (80, 0), (116, 0), (150, 0)])","(50, -2, [(1406, 0), (148, 0), (138, 0)])","(50, -46, [(1075, 0), (538, 0), (100, 0), (141, 0)])","(50, -22, [(1563, 0), (117, 0), (135, 0), (135, 0), (116, 0), (81, 0)])","(50, -28, [(1085, 0), (148, 0), (132, 0), (97, 0)])","(50, -20, [(549, 0), (147, 0), (82, 0)])","(50, -8, [(1586, 0), (139, 0), (91, 0)])","(50, -39, [(1738, 1), (99, 0), (140, 0), (120, 0)])","(40, -19, [(1683, 2), (1154, 0), (92, 0), (107, 0), (80, 0), (147, 0)])","(50, -32, [(1501, 0), (116, 0), (124, 0)])","(50, -6, [(1078, 1), (129, 0)])","(40, -34, [(1439, 2), (94, 0), (129, 0), (119, 0)])","(50, -48, [(1853, 2), (120, 0), (132, 0)])","(50, -46, [(711, 0), (109, 0)])","(50, -4, [(1498, 0)])","(40, -25, [(1168, 1)])","(40, -32, [(1346, 2)])","(50, -43, [(1838, 0), (124, 0)])","(50, -11, [(1884, 3), (129, 0), (136, 0)])","(50, -6, [(1289, 1), (106, 0)])","(50, -2, [(1624, 2), (130, 0)])","(50, -18, [(1641, 1), (116, 0)])","(50, -38, [(2073, 1), (82, 0)])","(50, -8, [(1649, 1), (83, 0), (126, 0), (90, 0)])","(50, -22, [(1650, 1), (130, 0)])"
